Etat;Entreprise;Secteur;Période;Devise;Région;Pays;Poste;2020;2021;2022;2023;2024;2025;2026;2027
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Chiffre d'affaires;33010.0;38660.0;43000.0;45750.0;47060.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total Chiffre d'affaires;33010.0;38660.0;43000.0;45750.0;47060.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Coût des marchandises vendues, total;13430.0;15360.0;18000.0;18520.0;18320.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat Brut;19580.0;23300.0;25000.0;27230.0;28740.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Frais de vente, généraux et administratifs, total;9580.0;11870.0;12660.0;13920.0;14440.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres dépenses de fonctionnement;12.0;-7.0;60.0;Nan;-6.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres dépenses de fonctionnement, total;9590.0;11860.0;12720.0;13920.0;14440.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat d'Exploitation;9990.0;11440.0;12280.0;13310.0;14300.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Intérêts payés, total;-1440.0;-1600.0;-882.0;-1530.0;-1660.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Intérêts perçus et revenus des placements;442.0;349.0;560.0;1120.0;1190.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Charges d'intérêt nettes;-995.0;-1250.0;-322.0;-412.0;-463.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Gains (Pertes) sur les investissements en actions;978.0;1440.0;1470.0;1690.0;1770.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Gains (pertes) de change;-64.0;-61.0;-236.0;-312.0;-180.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres produits non opérationnels;-38.0;-15.0;135.0;-60.0;-107.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;EBT, hors éléments non courants;9870.0;11550.0;13330.0;14220.0;15320.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Charges de restructuration;-760.0;-646.0;-116.0;-325.0;-133.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépréciation du goodwill;-14.0;-7.0;Nan;Nan;-6.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Gains (Pertes) sur le droit d'utilisation d'actifs;767.0;2110.0;-491.0;344.0;1100.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépréciation coût d'acquisition d'actifs;-55.0;-78.0;Nan;Nan;-949.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres éléments non courants;-60.0;-372.0;-1000.0;-1700.0;-3120.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;EBT, elements non courants inclus;9750.0;12420.0;11690.0;12950.0;13090.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Charge d'impôt;1980.0;2620.0;2120.0;2250.0;2440.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat des activités poursuivies;7770.0;9800.0;9570.0;10700.0;10650.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat net part du groupe;7770.0;9800.0;9570.0;10700.0;10650.0;;;
